Item,Estimated_Cost,Actual_Cost,Budget
Transport,9516,4638,50000
Labor,6085,1627,50000
Logistics,6646,3416,50000
Labor,5893,3551,50000
Transport,3594,9634,50000
Labor,2092,3627,50000
Transport,3955,8368,50000
Transport,9403,7900,50000
Maintenance,5143,7590,50000
Raw Materials,9770,5541,50000
Transport,8644,5029,50000
Logistics,3997,9596,50000
Marketing,6208,4280,50000
Utilities,3979,4472,50000
Packaging,4605,7744,50000
Raw Materials,1421,6301,50000
Raw Materials,1610,4020,50000
Raw Materials,9637,3199,50000
Maintenance,1130,8182,50000
Transport,3647,4323,50000
Maintenance,7673,1587,50000
Transport,4729,8854,50000
Logistics,5431,4358,50000
Maintenance,2024,7243,50000
Maintenance,8039,9143,50000
Utilities,1537,6799,50000
Marketing,5591,2469,50000
Maintenance,4083,4253,50000
Utilities,1507,8165,50000
Labor,4924,8453,50000
Marketing,9872,5916,50000
Logistics,3612,5866,50000
Maintenance,5876,4827,50000
Packaging,9951,3116,50000
Raw Materials,5223,8321,50000
Labor,4147,7468,50000
Labor,3193,4919,50000
Logistics,9082,4210,50000
Utilities,3546,4997,50000
Labor,6061,1916,50000
Marketing,5655,2283,50000
Maintenance,2222,7288,50000
Maintenance,8750,6790,50000
Packaging,6019,6637,50000
Logistics,4574,6856,50000
Raw Materials,6723,5211,50000
Utilities,7546,3598,50000
Raw Materials,4023,8274,50000
Labor,4280,3677,50000
Logistics,1540,1041,50000
Packaging,1510,7226,50000
Raw Materials,7162,4969,50000
Marketing,7702,5365,50000
Maintenance,1344,6134,50000
Labor,6179,1946,50000
Packaging,9083,3709,50000
Raw Materials,7372,8993,50000
Utilities,3480,7845,50000
Marketing,9590,1945,50000
Marketing,6819,3728,50000
Raw Materials,7742,1799,50000
Maintenance,7900,3208,50000
Raw Materials,6638,6928,50000
Labor,6900,9274,50000
Raw Materials,6523,8781,50000
Marketing,4849,7258,50000
Packaging,2777,8409,50000
Raw Materials,9571,1058,50000
Maintenance,4763,7242,50000
Logistics,4058,4146,50000
Packaging,3465,7658,50000
Utilities,5451,7518,50000
Transport,1015,2014,50000
Raw Materials,5410,9995,50000
Maintenance,3580,4734,50000
Packaging,6135,6002,50000
Maintenance,8948,8330,50000
Utilities,3592,7390,50000
Marketing,5789,5857,50000
Maintenance,9260,4356,50000
Packaging,9602,1316,50000
Maintenance,8232,8698,50000
Maintenance,9093,5184,50000
Maintenance,1918,1719,50000
Labor,5835,1890,50000
Labor,4343,1829,50000
Marketing,3486,3326,50000
Raw Materials,7873,3868,50000
Maintenance,1272,7026,50000
Utilities,5554,4936,50000
Raw Materials,1819,5167,50000
Utilities,6292,5977,50000
Raw Materials,3615,9408,50000
Marketing,7069,4618,50000
Maintenance,6640,7114,50000
Maintenance,4984,1109,50000
Transport,5890,6286,50000
Utilities,8701,3545,50000
Raw Materials,6191,5675,50000
Raw Materials,3981,5844,50000
Logistics,4039,3431,50000
Logistics,5935,6903,50000
Labor,1602,2912,50000
Transport,8459,2086,50000
Packaging,8419,1477,50000
Logistics,9447,3334,50000
Packaging,8692,7423,50000
Labor,3487,8862,50000
Labor,2358,6588,50000
Labor,1689,8071,50000
Utilities,9499,7795,50000
Utilities,7131,7177,50000
Marketing,4166,1065,50000
Marketing,9600,3219,50000
Labor,1825,2877,50000
Transport,2191,6125,50000
Raw Materials,6647,6899,50000
Utilities,7785,6763,50000
Transport,7813,3635,50000
Maintenance,6641,9925,50000
Utilities,1533,5936,50000
Utilities,7510,1239,50000
Marketing,2207,6166,50000
Raw Materials,9608,9981,50000
Raw Materials,2237,1154,50000
Logistics,5943,8255,50000
Packaging,5765,9461,50000
Packaging,5836,7499,50000
Packaging,1459,5708,50000
Packaging,9841,3079,50000
Maintenance,1119,6956,50000
Maintenance,5768,8376,50000
Utilities,6980,2110,50000
Labor,9509,3308,50000
Marketing,7481,9999,50000
Marketing,7298,4015,50000
Packaging,4226,3522,50000
Utilities,9585,1765,50000
Logistics,3552,6309,50000
Transport,6378,2281,50000
Labor,4228,9999,50000
Utilities,1076,9696,50000
Labor,4410,7647,50000
Labor,1408,9774,50000
Labor,5092,1433,50000
Utilities,3267,9597,50000
Packaging,9935,1902,50000
Marketing,5528,7638,50000
Marketing,6574,8930,50000
Packaging,6773,9556,50000
Labor,4834,8525,50000
Transport,4997,7964,50000
Raw Materials,8307,3257,50000
Utilities,6617,7762,50000
Raw Materials,3701,7374,50000
Logistics,4712,4534,50000
Packaging,4907,2877,50000
Transport,9946,7952,50000
Utilities,1675,4672,50000
Packaging,5927,5005,50000
Labor,6349,6894,50000
Marketing,7168,2899,50000
Raw Materials,4475,8678,50000
Maintenance,7816,6119,50000
Maintenance,1541,3977,50000
Transport,1164,5490,50000
Labor,8092,8448,50000
Logistics,1984,6375,50000
Raw Materials,3661,7041,50000
Labor,5468,3505,50000
Raw Materials,1617,3233,50000
Transport,9260,8743,50000
Transport,6639,2890,50000
Logistics,5196,2213,50000
Maintenance,1000,7588,50000
Labor,9377,3850,50000
Utilities,5438,2639,50000
Maintenance,5808,4873,50000
Labor,4079,8526,50000
Maintenance,7719,7268,50000
Utilities,9327,1008,50000
Marketing,7018,4176,50000
Marketing,1382,5189,50000
Logistics,1927,4604,50000
Marketing,6059,8889,50000
Marketing,1560,5441,50000
Packaging,2189,2950,50000
Raw Materials,1897,9321,50000
Packaging,3368,5836,50000
Packaging,5953,7759,50000
Logistics,8898,6775,50000
Packaging,5380,3353,50000
Marketing,3398,9572,50000
Utilities,7226,6499,50000
Logistics,6743,9709,50000
Logistics,3588,7805,50000
Transport,7356,8101,50000
Logistics,4685,6002,50000
Transport,5309,1076,50000
Logistics,5399,3732,50000
Raw Materials,4226,9108,50000
Marketing,2403,7248,50000
Logistics,9391,5324,50000
Marketing,3285,5429,50000
Marketing,9862,6834,50000
Maintenance,2728,3134,50000
Logistics,2249,9685,50000
Labor,1878,2577,50000
Maintenance,3523,4839,50000
Labor,1497,2472,50000
Marketing,8702,1551,50000
Marketing,8578,9265,50000
Maintenance,5879,1902,50000
Maintenance,1538,9918,50000
Labor,2466,1779,50000
Transport,8714,6943,50000
Labor,2733,6963,50000
Maintenance,1490,4207,50000
Utilities,2709,4534,50000
Maintenance,7711,3186,50000
Utilities,2918,5082,50000
Raw Materials,9166,6277,50000
Maintenance,7025,2622,50000
Raw Materials,7099,5625,50000
Transport,1197,8997,50000
Labor,2713,6640,50000
Utilities,5783,9817,50000
Labor,9102,3181,50000
Raw Materials,4844,4713,50000
Utilities,1595,3512,50000
Labor,9330,4993,50000
Maintenance,2014,2800,50000
Marketing,1241,1603,50000
Raw Materials,3363,1349,50000
Labor,1732,3877,50000
Raw Materials,1134,5654,50000
Packaging,4761,1294,50000
Raw Materials,3626,4538,50000
Utilities,8179,8941,50000
Packaging,2510,6611,50000
Logistics,3796,4442,50000
Utilities,7907,8333,50000
Marketing,5512,5791,50000
Packaging,5302,2269,50000
Logistics,2643,6517,50000
Maintenance,5406,6220,50000
Raw Materials,4364,5254,50000
Labor,7768,8171,50000
Transport,4411,7762,50000
Raw Materials,1082,4077,50000
Logistics,6696,8615,50000
Raw Materials,3440,9171,50000
Marketing,6760,5938,50000
Maintenance,2782,7746,50000
Transport,9796,1407,50000
Packaging,7426,2811,50000
Packaging,8906,1012,50000
Packaging,9922,9795,50000
Logistics,2360,8906,50000
Utilities,3078,9548,50000
Utilities,1977,4346,50000
Labor,8793,9494,50000
Transport,2637,3299,50000
Packaging,4300,9774,50000
Utilities,5004,3882,50000
Logistics,1582,7951,50000
Labor,9651,1030,50000
Maintenance,9327,9492,50000
Labor,9475,8271,50000
Utilities,3398,9520,50000
Marketing,5112,4541,50000
Logistics,2238,1410,50000
Marketing,4466,9243,50000
Packaging,6518,3614,50000
Marketing,6363,2050,50000
Packaging,4166,9876,50000
Packaging,1779,3474,50000
Utilities,3134,5649,50000
Marketing,3236,3351,50000
Packaging,2639,8609,50000
Transport,9611,4610,50000
Maintenance,4689,8845,50000
Labor,5955,5437,50000
Labor,9398,7092,50000
Utilities,8372,2306,50000
Marketing,4390,1295,50000
Marketing,8250,9285,50000
Packaging,8249,6282,50000
Logistics,4796,7773,50000
Raw Materials,3534,4005,50000
Packaging,3180,6504,50000
Maintenance,5306,1277,50000
Transport,5227,3552,50000
Labor,2446,3026,50000
Packaging,1951,1150,50000
Raw Materials,5021,3228,50000
Raw Materials,6485,6527,50000
Packaging,2717,7351,50000
Utilities,5242,5118,50000
Labor,4805,7631,50000
Utilities,6913,3709,50000
Transport,8475,9796,50000
Raw Materials,5810,3821,50000
Raw Materials,2596,8652,50000
Maintenance,7594,3504,50000
Transport,4216,5440,50000
Raw Materials,6755,3687,50000
Transport,7283,5709,50000
Labor,2337,7368,50000
Marketing,3974,1922,50000
Raw Materials,5473,1850,50000
Maintenance,9552,1591,50000
Labor,7826,4512,50000
Packaging,6667,7915,50000
Transport,9764,3453,50000
Packaging,9013,6998,50000
Utilities,4044,4812,50000
Labor,6018,7612,50000
Packaging,3233,5209,50000
Logistics,6637,5670,50000
Logistics,8467,2626,50000
Raw Materials,4246,8661,50000
Transport,5041,3076,50000
Marketing,2889,8747,50000
Labor,8676,7432,50000
Raw Materials,3655,3413,50000
Maintenance,4718,2495,50000
Utilities,6535,7848,50000
Transport,3129,1118,50000
Labor,2630,1103,50000
Logistics,6060,1049,50000
Labor,1991,5949,50000
Marketing,5590,9111,50000
Logistics,7866,1474,50000
Marketing,9894,4662,50000
Maintenance,5921,8307,50000
Utilities,9021,1112,50000
Maintenance,3481,9945,50000
Raw Materials,9754,7280,50000
Raw Materials,7281,3670,50000
Maintenance,9558,1924,50000
Utilities,7249,2536,50000
Maintenance,1793,8668,50000
Utilities,5731,8447,50000
Utilities,1986,3224,50000
Packaging,4595,7006,50000
Logistics,1854,4896,50000
Transport,2569,1482,50000
Utilities,3256,6169,50000
Marketing,5103,1265,50000
Utilities,5176,6847,50000
Utilities,8961,4810,50000
Utilities,6254,4378,50000
Packaging,9429,5790,50000
Logistics,8906,4999,50000
Packaging,7001,6926,50000
Raw Materials,2732,7574,50000
Packaging,1814,5640,50000
Marketing,8035,5831,50000
Marketing,2186,7620,50000
Packaging,8581,6307,50000
Logistics,3225,3733,50000
Maintenance,7423,3503,50000
Transport,9989,1730,50000
Logistics,6173,6613,50000
Packaging,9735,4370,50000
Utilities,6882,5399,50000
Labor,1519,4851,50000
Transport,6041,7790,50000
Transport,2454,3275,50000
Marketing,7870,3915,50000
Transport,8213,8738,50000
Packaging,8759,5699,50000
Utilities,4406,2004,50000
Utilities,1946,4699,50000
Raw Materials,5030,4158,50000
Utilities,9327,1506,50000
Logistics,1792,6610,50000
Utilities,2136,7275,50000
Marketing,1554,1337,50000
Utilities,8037,8019,50000
Raw Materials,4403,9253,50000
Labor,3254,8835,50000
Packaging,2366,8272,50000
Marketing,1948,5393,50000
Logistics,9295,2189,50000
Labor,8809,4057,50000
Marketing,8207,5153,50000
Maintenance,8419,1446,50000
Transport,5026,3490,50000
Maintenance,6956,8153,50000
Utilities,8369,2534,50000
Labor,8322,4604,50000
Utilities,3614,3945,50000
Transport,4271,5850,50000
Marketing,8384,9010,50000
Transport,6678,7199,50000
Raw Materials,1881,5315,50000
Transport,4188,4088,50000
Raw Materials,4334,4884,50000
Transport,3198,4380,50000
Packaging,9403,4052,50000
Raw Materials,1754,3529,50000
Labor,6217,4184,50000
Utilities,9892,9107,50000
Logistics,1370,9085,50000
Utilities,2732,3899,50000
Maintenance,6259,6803,50000
Utilities,1801,1415,50000
Marketing,7399,6845,50000
Packaging,5771,4414,50000
Transport,8007,3430,50000
Maintenance,1415,7393,50000
Marketing,4337,1618,50000
Marketing,6258,1596,50000
Raw Materials,9027,4328,50000
Utilities,6057,4937,50000
Labor,7967,6011,50000
Logistics,2620,8209,50000
Labor,6982,6688,50000
Maintenance,8993,2259,50000
Packaging,3792,1882,50000
Labor,9764,6334,50000
Transport,8386,8411,50000
Labor,5893,5379,50000
Maintenance,6096,1080,50000
Logistics,5856,3631,50000
Labor,4655,7656,50000
Transport,9484,6468,50000
Raw Materials,5293,9627,50000
Packaging,1079,1770,50000
Maintenance,5308,2292,50000
Raw Materials,2862,2888,50000
Raw Materials,1618,3326,50000
Raw Materials,1959,1726,50000
Marketing,4735,8457,50000
Packaging,9114,2689,50000
Logistics,3168,4844,50000
Utilities,4245,7736,50000
Packaging,8235,8832,50000
Marketing,2161,5566,50000
Utilities,3040,4847,50000
Packaging,9160,3939,50000
Raw Materials,6649,2298,50000
Maintenance,8318,3188,50000
Utilities,8483,7822,50000
Transport,5132,4568,50000
Transport,1844,3552,50000
Labor,6777,5342,50000
Utilities,2643,3902,50000
Maintenance,2263,3083,50000
Logistics,3934,6056,50000
Marketing,7139,4212,50000
Raw Materials,8174,9283,50000
Labor,1215,5301,50000
Transport,5776,7854,50000
Marketing,3340,4684,50000
Marketing,8706,1702,50000
Raw Materials,3090,4409,50000
Logistics,2116,8848,50000
Logistics,8750,5755,50000
Utilities,6334,1613,50000
Transport,3161,4608,50000
Logistics,4256,7123,50000
Maintenance,4176,3333,50000
Logistics,7380,6503,50000
Marketing,4345,1583,50000
Raw Materials,7996,4608,50000
Maintenance,3933,9285,50000
Utilities,8741,9861,50000
Transport,6655,2484,50000
Utilities,3448,5126,50000
Marketing,1827,9799,50000
Maintenance,6896,7824,50000
Maintenance,2203,1924,50000
Maintenance,7619,7049,50000
Marketing,7798,8698,50000
Marketing,1844,7105,50000
Utilities,3971,5380,50000
Labor,2268,5435,50000
Utilities,5744,5632,50000
Transport,8735,9424,50000
Raw Materials,4530,6174,50000
Maintenance,6085,6559,50000
Labor,9995,5732,50000
Raw Materials,9319,2320,50000
Labor,3264,1129,50000
Logistics,1019,6637,50000
Logistics,2781,9419,50000
Packaging,7857,5282,50000
Logistics,5834,6312,50000
Utilities,8296,8454,50000
Logistics,9748,4930,50000
Marketing,3244,2388,50000
Maintenance,3983,8213,50000
Utilities,3725,2581,50000
Raw Materials,5599,6376,50000
Packaging,6366,9926,50000
Packaging,5887,5113,50000
Packaging,1196,4952,50000
Raw Materials,6226,1992,50000
Raw Materials,3828,1779,50000
Raw Materials,4988,4351,50000
Raw Materials,6732,3070,50000
Packaging,6279,7420,50000
Packaging,3469,2733,50000
Labor,2630,3681,50000
Utilities,4278,3156,50000
Maintenance,3038,4814,50000
Logistics,6432,8908,50000
Logistics,6021,3333,50000
Marketing,5330,3297,50000
Packaging,7470,3814,50000
Marketing,8077,5980,50000
Utilities,5761,3944,50000
Utilities,6219,4180,50000
Marketing,8001,2904,50000
Packaging,2387,5935,50000
Marketing,1641,4399,50000
Logistics,6612,2255,50000
Labor,8210,7832,50000
Logistics,1574,9147,50000
Transport,8796,1427,50000
Packaging,9591,3602,50000
Packaging,5690,9240,50000
Maintenance,2456,1179,50000
Raw Materials,2595,5767,50000
Transport,9308,8990,50000
Utilities,8986,1529,50000
Packaging,9574,7101,50000
Marketing,3129,5026,50000
Transport,1831,6916,50000
Maintenance,5968,5277,50000
Utilities,4481,3643,50000
Raw Materials,3117,9872,50000
Raw Materials,5482,5999,50000
Maintenance,3006,7954,50000
Maintenance,9488,4043,50000
Marketing,7760,3994,50000
Packaging,9910,5231,50000
Raw Materials,6694,6756,50000
Utilities,7062,8688,50000
Transport,4079,4661,50000
Utilities,6278,6549,50000
Labor,1010,5640,50000
Labor,5880,1313,50000
Maintenance,1410,7222,50000
Marketing,1598,4293,50000
Labor,1823,9541,50000
Raw Materials,8876,9094,50000
Utilities,6217,7084,50000
Utilities,8086,5178,50000
Maintenance,1312,8471,50000
Packaging,7671,9063,50000
Packaging,7700,5580,50000
Transport,3492,9521,50000
Maintenance,1230,7783,50000
Logistics,4740,8523,50000
Transport,1043,2952,50000
Logistics,8532,1444,50000
Packaging,9092,4342,50000
Maintenance,8278,2766,50000
Logistics,4457,6274,50000
Maintenance,6384,8955,50000
Maintenance,6615,9099,50000
Packaging,6506,3061,50000
Transport,3995,9700,50000
Transport,4638,1548,50000
Maintenance,8517,6603,50000
Labor,4284,6866,50000
Marketing,9362,8609,50000
Packaging,5341,3012,50000
Marketing,1616,7158,50000
Marketing,1239,1516,50000
Transport,7052,6101,50000
Transport,7454,8776,50000
Labor,5887,7886,50000
Marketing,2904,5992,50000
Marketing,7165,7446,50000
Maintenance,1812,1999,50000
Transport,5999,4064,50000
Marketing,8642,5231,50000
Utilities,2730,5055,50000
Labor,4424,9429,50000
Logistics,7062,9278,50000
Utilities,3207,3275,50000
Utilities,4368,8739,50000
Logistics,6471,8689,50000
Packaging,3227,2603,50000
Packaging,8639,9789,50000
Labor,5380,6994,50000
Utilities,2820,6934,50000
Marketing,9840,3084,50000
Transport,1188,2491,50000
Labor,6221,3090,50000
Maintenance,9670,2304,50000
Logistics,7746,3801,50000
Utilities,5612,3705,50000
Labor,2888,5859,50000
Raw Materials,2550,5397,50000
Raw Materials,8059,8334,50000
Packaging,6233,1333,50000
Logistics,6635,9047,50000
Transport,1033,2277,50000
Marketing,9487,1853,50000
Transport,2429,8589,50000
Transport,6246,7838,50000
Transport,2987,3820,50000
Logistics,7271,1112,50000
Transport,3882,9580,50000
Maintenance,2547,5785,50000
Logistics,1462,6420,50000
Maintenance,7707,8135,50000
Logistics,6305,7615,50000
Packaging,1513,3850,50000
Labor,6174,2873,50000
Raw Materials,4566,7904,50000
Transport,4803,9205,50000
Packaging,4938,6717,50000
Labor,2471,9806,50000
Raw Materials,9003,3269,50000
Utilities,1337,5784,50000
Marketing,8051,6835,50000
Maintenance,8444,4549,50000
Utilities,4412,4074,50000
Logistics,3392,3151,50000
Raw Materials,1976,4738,50000
Utilities,5978,1731,50000
Marketing,5068,5084,50000
Packaging,1871,6492,50000
Raw Materials,4409,8678,50000
Utilities,3589,9078,50000
Maintenance,2549,5978,50000
Maintenance,5461,8660,50000
Labor,3621,3799,50000
Utilities,3529,4854,50000
Transport,8162,3205,50000
Utilities,9351,2964,50000
Packaging,7399,2204,50000
Raw Materials,3581,5396,50000
Raw Materials,7565,7588,50000
Packaging,8105,5173,50000
Utilities,7956,6321,50000
Packaging,3934,5323,50000
Marketing,3311,8813,50000
Logistics,3795,3592,50000
Packaging,5328,8995,50000
Maintenance,7823,7946,50000
Packaging,5328,2088,50000
Raw Materials,4588,6977,50000
Maintenance,4116,8373,50000
Raw Materials,5653,2456,50000
Labor,4747,2089,50000
Transport,7824,7573,50000
Raw Materials,2459,1678,50000
Maintenance,5430,9270,50000
Labor,3451,3452,50000
Raw Materials,8331,4853,50000
Marketing,5090,3464,50000
Packaging,9963,7678,50000
Transport,6041,8379,50000
Raw Materials,2111,1165,50000
Labor,4585,4886,50000
Marketing,8601,8743,50000
Utilities,3373,8909,50000
Labor,7842,9960,50000
Packaging,9533,5419,50000
Labor,6098,8381,50000
Marketing,5723,7859,50000
Labor,3818,6747,50000
Marketing,3925,1184,50000
Raw Materials,1709,5998,50000
Logistics,7992,6047,50000
Marketing,1738,7054,50000
Marketing,5590,8109,50000
Transport,7087,7226,50000
Marketing,4718,9942,50000
Marketing,9201,8318,50000
Utilities,6081,1649,50000
Logistics,3578,1675,50000
Raw Materials,2558,1642,50000
Packaging,5000,8239,50000
Transport,5545,3380,50000
Utilities,6339,5492,50000
Maintenance,3716,3690,50000
Logistics,5302,2598,50000
Raw Materials,2809,7076,50000
Raw Materials,6830,2978,50000
Maintenance,2997,1778,50000
Packaging,3931,8428,50000
Marketing,3130,3882,50000
Utilities,5412,9799,50000
Labor,7513,8742,50000
Transport,3796,6507,50000
Labor,8748,1750,50000
Maintenance,7323,1540,50000
Raw Materials,7745,9336,50000
Packaging,6202,1990,50000
Raw Materials,2555,3722,50000
Transport,9181,4068,50000
Raw Materials,5443,2110,50000
Raw Materials,9522,7447,50000
Transport,5705,5062,50000
Utilities,5839,6056,50000
Utilities,4958,7772,50000
Transport,5664,6322,50000
Packaging,1746,2280,50000
Maintenance,3184,4304,50000
Logistics,8946,2619,50000
Raw Materials,6321,1610,50000
Packaging,8148,5261,50000
Raw Materials,3024,7301,50000
Logistics,7173,5594,50000
Maintenance,3711,5405,50000
Utilities,8018,3014,50000
Packaging,8197,2935,50000
Marketing,2702,4687,50000
Marketing,6529,3330,50000
Logistics,8216,3659,50000
Marketing,8655,8566,50000
Utilities,6417,2069,50000
